exercise,exercise_ts,rep_counter,good_form_pct
pullup,3/19/21,18,50
pullup,3/23/21,32,42
pullup,3/24/21,12,100
pullup,3/25/21,21,100
pullup,3/26/21,126,76
pullup,3/27/21,60,100
pullup,3/28/21,15,100
pushup,3/16/21,20,96
pushup,3/19/21,981,96
pushup,3/23/21,10,93
pushup,3/24/21,90,96
pushup,3/25/21,189,93
pushup,3/26/21,236,92
pushup,3/27/21,109,92
pushup,3/28/21,9,92
squat,3/19/21,465,82
squat,3/21/21,15,82
squat,3/23/21,22,100
squat,3/24/21,25,82
squat,3/25/21,25,82
squat,3/26/21,425,100
squat,3/27/21,15,100
squat,3/28/21,10,100